frame,smile_vertical_asymmetry_px,mouth_horizontal_asymmetry_px,eye_horizontal_asymmetry_px,general_symmetry_score,facial_droop_flag,severity_score
stroke.jpg,20.45,26.05,46.21,40.43,1,59.98
stroke2.jpg,16.92,34.56,12.87,22.5,1,57.84
stroke3.jpg,1.62,1.26,3.87,4.15,0,5.33
stroke4.jpeg,1.27,2.75,1.39,2.93,0,5.29
rame_0000.jpg,3.17,7.19,3.41,7.17,0,13.34
frame_0001.jpg,4.25,7.94,2.64,8.27,0,15.72
frame_0002.jpg,2.01,1.67,3.25,3.05,0,5.29
frame_0003.jpg,0.3,0.88,2.33,1.69,0,2.1
frame_0004.jpg,0.38,4.19,0.17,5.67,0,7.3
frame_0005.jpg,0.72,5.51,4.85,10.17,0,11.63
frame_0006.jpg,0.2,0.52,1.71,4.33,0,3.47
frame_0007.jpg,0.04,0.47,2.37,3.86,0,2.96
frame_0008.jpg,0.26,2.31,4.55,2.72,0,3.8
frame_0009.jpg,0.42,2.67,2.63,2.49,0,4.09
frame_0010.jpg,1.69,0.96,2.38,5.32,0,5.96
frame_0011.jpg,3.35,1.17,5.12,3.45,0,6.54
frame_0012.jpg,2.91,2.47,0.2,1.54,0,5.79
frame_0013.jpg,3.84,4.44,2.55,2.55,0,8.87
frame_0014.jpg,2.77,9.63,3.18,5.93,0,13.94
frame_0015.jpg,5.22,7.63,5.01,4.19,0,13.73
frame_0016.jpg,4.27,5.03,3.12,3.6,0,10.45
frame_0017.jpg,2.03,5.7,2.67,5.66,0,10.08
frame_0018.jpg,4.82,5.95,5.75,3.88,0,11.87
frame_0019.jpg,5.47,8.34,6.32,7.39,0,16.65
frame_0020.jpg,0.68,0.64,3.07,3.29,0,3.35
frame_0021.jpg,1.29,3.33,2.51,2.84,0,5.68
frame_0022.jpg,1.14,1.06,5.51,2.88,0,3.85
frame_0023.jpg,2.49,2.54,0.26,3.66,0,6.83
frame_0024.jpg,0.21,3.72,1.46,3.94,0,5.63
frame_0025.jpg,0.45,4.45,2.2,4.23,0,6.61
frame_0026.jpg,1.19,5.54,0.22,5.22,0,8.82
frame_0027.jpg,1.17,2.19,1.42,3.72,0,5.29
frame_0028.jpg,2.35,5.66,0.02,3.16,0,8.7
frame_0029.jpg,2.05,3.9,2.76,2.34,0,6.54
frame_0030.jpg,2.49,5.22,0.84,4.86,0,9.65
frame_0031.jpg,2.48,4.21,0.71,6.18,0,9.76
frame_0032.jpg,1.25,0.82,1.67,3.9,0,4.47
frame_0033.jpg,0.48,0.02,3.01,2.93,0,2.44
frame_0034.jpg,0.99,5.71,7.36,4.79,0,8.47
frame_0035.jpg,0.28,0.49,1.03,1.44,0,1.61
frame_0036.jpg,8.99,0.71,9.18,10.21,0,16.33
frame_0037.jpg,6.33,3.46,3.84,5.7,0,12.72
frame_0038.jpg,5.28,2.64,6.43,7.49,0,12.25
frame_0039.jpg,8.89,7.16,0.61,4.1,0,17.0
frame_0040.jpg,5.98,1.85,8.71,5.82,0,11.24
frame_0041.jpg,4.71,14.38,3.85,10.72,0,22.65
frame_0042.jpg,1.35,4.61,6.43,4.65,0,7.91
frame_0043.jpg,3.45,7.39,1.58,4.58,0,12.05
frame_0044.jpg,0.69,8.53,2.57,8.17,0,12.54
frame_0045.jpg,6.35,11.12,13.42,10.39,0,21.62
frame_0046.jpg,12.99,2.65,21.31,16.32,0,25.85
frame_0047.jpg,11.28,6.35,18.64,16.31,0,26.91
frame_0048.jpg,0.51,3.88,3.94,4.6,0,6.49
frame_0049.jpg,7.01,8.86,4.27,10.19,0,20.45
frame_0050.jpg,1.47,2.02,4.52,5.6,0,6.72
frame_0051.jpg,2.81,4.32,8.21,5.87,0,9.97
frame_0052.jpg,2.58,2.68,8.03,4.18,0,7.37
